Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
51,2.0,0.0,0.0,612.0,11.0,45.0,2815.0,0.0,13.117999999999986,0.0,0.0,582.2905740737915,,,,,,,,,,,,,,,,,,,,,2.637028654555409,3.981427512197431,13.025371428029644,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,635.0,12.0,23.0,2838.0,0.0,9.105999999999995,0.0,0.0,584.6486349105835,,,,,,,,,,,,,,,,,,,,,2.5482941433845303,3.153010098086133,9.065511191574114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,672.0,13.0,37.0,2875.0,0.0,18.30800000000002,0.0,0.0,588.1802957057953,,,,,,,,,,,,,,,,,,,,,5.454283750531089,6.206806498758612,18.142458275322724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,784.0,14.0,112.0,2987.0,0.0,38.42000000000006,0.0,0.0,598.7731816768646,,,,,,,,,,,,,,,,,,,,,15.295447794612857,9.472578650882419,36.78043393443833,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,856.0,15.0,72.0,3059.0,0.0,40.00599999999999,0.0,0.0,605.6943352222443,,,,,,,,,,,,,,,,,,,,,16.7832978664659,11.680466146804031,38.87531430691394,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,883.0,16.0,27.0,3086.0,0.0,8.807999999999993,0.0,0.0,608.3813903331757,,,,,,,,,,,,,,,,,,,,,2.1613553761708295,2.8862710720067826,8.767168975625665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,911.0,17.0,28.0,3114.0,0.0,11.704999999999995,0.0,0.0,611.0958456993103,,,,,,,,,,,,,,,,,,,,,3.521930495674925,3.877293033282436,11.629633583654833,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,964.0,18.0,53.0,3167.0,0.0,37.60699999999999,0.0,0.0,616.2010502815247,,,,,,,,,,,,,,,,,,,,,14.31625938085224,12.61896618726517,36.92204542161263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,999.0,19.0,35.0,3202.0,0.0,12.008999999999991,0.0,0.0,619.7029237747192,,,,,,,,,,,,,,,,,,,,,3.033459585247982,3.806861914758442,11.926670328503,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1109.0,20.0,110.0,3312.0,0.0,52.611000000000026,0.0,0.0,630.2322554588318,,,,,,,,,,,,,,,,,,,,,17.680615035498125,15.163915185642825,50.76761681210261,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,107.0,1.0,107.0,3419.0,0.0,79.50699999999998,0.0,0.0,889.6603696346283,,,,,,,,,,,,,,,,,,,,,30.484152689435287,25.121174221986934,76.39791509450438,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,149.0,2.0,42.0,3461.0,0.0,20.409000000000024,0.0,0.0,894.031934261322,,,,,,,,,,,,,,,,,,,,,5.952868900158366,6.803864518101712,20.199358022881093,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,289.0,3.0,140.0,3601.0,0.0,94.10900000000001,0.0,0.0,907.0961716175079,,,,,,,,,,,,,,,,,,,,,36.9061101412365,26.618351636179018,89.1202960520349,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,488.0,4.0,199.0,3800.0,0.0,126.90499999999975,0.0,0.0,925.4371864795685,,,,,,,,,,,,,,,,,,,,,49.74463053934547,35.25724528604571,117.24018164578028,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,555.0,5.0,67.0,3867.0,0.0,38.907000000000004,0.0,0.0,931.9522466659546,,,,,,,,,,,,,,,,,,,,,12.692677233742348,12.607395987280855,38.13281812877869,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,602.0,6.0,47.0,3914.0,0.0,21.81000000000003,0.0,0.0,936.6301033496857,,,,,,,,,,,,,,,,,,,,,6.008456270865715,7.185355998306861,21.570722429405695,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,656.0,7.0,54.0,3968.0,0.0,33.806999999999995,0.0,0.0,941.7640066146851,,,,,,,,,,,,,,,,,,,,,11.740848510780673,11.247546761872929,33.23943982061926,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,682.0,8.0,26.0,3994.0,0.0,11.106999999999994,0.0,0.0,944.6115853786469,,,,,,,,,,,,,,,,,,,,,3.1430067293511303,3.8443015327189984,11.047365508688742,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,752.0,9.0,70.0,4064.0,0.0,27.716000000000026,0.0,0.0,951.1697902679443,,,,,,,,,,,,,,,,,,,,,9.27890268325701,8.274778283059902,27.120691073628198,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,810.0,10.0,58.0,4122.0,0.0,23.60700000000001,0.0,0.0,956.7619614601135,,,,,,,,,,,,,,,,,,,,,9.041929764332792,6.773176030792981,23.128802549966082,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
